date,geo,hashtags,id,text,type,username
2019-07-06 06:59:15+00:00,,,1147399592406745088,Yooo I fucking felt that last earthquake but it took me so long to realize it was an earthquake to begin with lmao,official,TAAMAARINDO
2019-07-06 06:58:00+00:00,,,1147399279427743745,I feel really weak in the legs and I’m not sure if it’s from my first class at soulcycle or the earthquake aftershocks,official,Oliviamescia
2019-07-06 06:57:46+00:00,,#ufo #earthquakeLApic,1147399219847634944,"UFO’s and the 6.9 Earthquake out now on Apple Podcasts, Stitcher and Spotify. #ufo #earthquakeLApic.twitter.com/sUx0CFWfXS",official,almostlapodcast
2019-07-06 06:57:29+00:00,,#earthquake,1147399148880052224,"I recommend this site to follow California’s #earthquake swarm. The size of the squares is proportional to quake strength, and the color indicates when they occurred. http://scedc.caltech.edu/recent pic.twitter.com/ukKnWao1QJ",official,RPappalardo
2019-07-06 06:56:41+00:00,,,1147398947448807425,"Thank goodness they finally have cortados at this place, especially when dealing with earthquakes and massively increasing my already huge admiration to Mr. Logo! Yes, the amazing freaking Master Jerry West!… https://www.instagram.com/p/BzkOfB0n9wJ/?igshid=7uteji79m9x9 …",official,MarAnthonyAp
2019-07-06 06:56:15+00:00,,,1147398838656749569,Next earthquake I am going to stand outside of the metro station with a speaker blaring Shake it by metro station...,official,itsbrireid
2019-07-06 06:56:02+00:00,,#EarthquakeLA #earthquake #dogspic,1147398786404085760,"A lot like the day before, but with more gentle swaying and splashing. For reference, this is roughly 150 miles from the epicenter. #EarthquakeLA #earthquake #dogspic.twitter.com/Nvly6FBmpp – at Tujunga Village",official,JonLloydLA
2019-07-06 06:56:01+00:00,,,1147398778430853120,i’m lowkey annoyed i wasn’t back home to experience these damn earthquakes considering i usually sleep through them & now @fucktyler is on a constant replay in my head. you make my earfquake.. U mAkE mY eArFqUaKe… https://www.instagram.com/p/BzkOaoGHd6d/?igshid=joeyk2435zua …,official,_arielmichele
2019-07-06 06:55:35+00:00,,#NBA #Earthquakes #Earthquake #EarthquakeLA #Lakers #Clippers #LaLaLand #NBAMecca,1147398670729396225,The @Lakers & @LAClippers are creating havoc 4 the rest of the #NBA & causing #Earthquakes with their massive moves #Earthquake #EarthquakeLA @NBA #Lakers #Clippers #LaLaLand @ESPNLosAngeles @VeniceMase @LAIreland #NBAMecca Cant wait for the season to start. See ya at the finals,official,213RAIDERS
2019-07-06 06:55:09+00:00,,,1147398563841728513,"I think it’s time to go back to NOLA , Cali with all these earthquakes",official,Jst_Branden
2019-07-06 06:54:54+00:00,,,1147398497739534336,So yeah a 7.1 earthquake happened right after our first show began tonight. That was fun.,official,DylanJohnSeaton
2019-07-06 06:54:24+00:00,,#DodgerStadium #earthquake #DamnQuake,1147398373353222145,@hailey_salvian how are you doing? Consolation prize I can tell you I was at #DodgerStadium during the #earthquake tonight / Kawhi must have gotten confused of what the right team in my town was to pick because of it and ended up w the Clippers. #DamnQuake,official,AGMSports
2019-07-06 06:54:17+00:00,,,1147398345628848128,"I like how every time there is ever an earthquake, the first thing I do is check Twitter instead of asking if people are ok pic.twitter.com/vpG5Q4AI3a",official,lesleyfabiolaa
2019-07-06 06:54:11+00:00,,,1147398316935696384,"Oh goodness you foreigners don't have a chance of lasting in Los Angeles if you think that was a big earthquake... And before everyone gets hyper, I meant foreign to Los Angeles. Everyone here is foreign to the United States saving the blessed few that remain from our indigenous.",official,leahtylerwriter
2019-07-06 06:53:46+00:00,,,1147398214301040642,Y’all go on my ig live I am doing an earthquake emergency tutorial,official,flipsidefabian
2019-07-06 06:53:36+00:00,,,1147398173217787905,I want to sleep so bad but my family’s downstairs eating and my room is on the top floor and I’m paranoid because of earthquakes,official,aracellllyyy
2019-07-06 06:53:21+00:00,,#RidgecrestEarthquakepic,1147398108281630720,"Over 100 miles from Ridgecrest and a minute after the earthquake, my blinds and posters were still swinging and a few things on my bookshelf had fallen. Took awhile for the seasick feeling to go away. But safe! @SpecNews1SoCal #RidgecrestEarthquakepic.twitter.com/MomojzOY0a",official,TanyaMcRae777
2019-07-06 06:53:18+00:00,,,1147398096688570368,I lived in the valley during the 94 earthquake. It was on the Sylmar fault line. I remember driving down Reseda and just seeing buildings toppled over. For two weeks I had to drive three cities over to call my mom from a payphone.,official,mayginmcewen
2019-07-06 06:53:15+00:00,,,1147398085468753920,Damn LA news isn’t even talking about Kawhi and PG to the Clippers with all of the earthquake stuff happening,official,AdamShattuck
2019-07-06 06:53:14+00:00,,#andthatsthetea,1147398081547161600,went to go look up what to do in an earthquake but got distracted and ended up watching a video where sophie turner was defending alex morgan for her world cup goal celebration i DESERVE to die in an earthquake #andthatsthetea,official,LaurenFlans
2019-07-06 06:53:10+00:00,,#earthquakecalifornia #earthquakeinla,1147398062890860544,Yo Ima go fuck that earthquake up it shake my floors again it don’t pay no rent in here. #earthquakecalifornia #earthquakeinla,official,yphmels
